B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 2
B12, Blotteritem, {'type': 'Trade', 'time': 37.36249999999993, 'price': 156, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 408.0749999997658, 'price': 156, 'party1': 'B12', 'party2': 'S13', 'qty': 1}
B13, 3
B13, Blotteritem, {'type': 'Trade', 'time': 34.67499999999932, 'price': 156, 'party1': 'B13', 'party2': 'S11', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 305.73749999985887, 'price': 156, 'party1': 'B13', 'party2': 'S11', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 571.4749999998876, 'price': 156, 'party1': 'B13', 'party2': 'S05', 'qty': 1}
B14, 11
B14, Blotteritem, {'type': 'Trade', 'time': 34.462499999999274, 'price': 157, 'party1': 'B14', 'party2': 'S13', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 176.8499999999761, 'price': 157, 'party1': 'B14', 'party2': 'S04', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 233.18749999992485, 'price': 157, 'party1': 'B14', 'party2': 'S02', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 260.5249999999, 'price': 157, 'party1': 'B14', 'party2': 'S09', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 304.56249999985994, 'price': 157, 'party1': 'B14', 'party2': 'S13', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 322.3124999998438, 'price': 157, 'party1': 'B14', 'party2': 'S12', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 361.07499999980854, 'price': 157, 'party1': 'B14', 'party2': 'S12', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 384.3374999997874, 'price': 157, 'party1': 'B14', 'party2': 'S13', 'qty': 1}
